id_sesji,warunek,poziom_bodzca,TP_level,FN_level,FP_session,TN_session,H_level,F_session,d_prime_level,criterion_C_level,n_signal_level,n_noise_session,threshold_dprime1
sesja_01,pilot,0.08,12.0,6.0,3,47,0.6666666666666666,0.06,1.8928158212018205,0.5396836587295464,18.0,50,
sesja_01,pilot,0.12,15.0,6.0,3,47,0.7142857142857143,0.06,2.02361067553323,0.4742862315638417,21.0,50,
sesja_01,pilot,0.16,17.0,2.0,3,47,0.8947368421052632,0.06,2.6364409497064645,0.16787109447722437,19.0,50,
sesja_01,pilot,,,,3,47,,0.06,,,,50,
sesja_02,pilot,0.08,10.0,0.0,0,30,1.0,0.0,3.831819750556917,0.22528824569355987,10.0,30,
sesja_02,pilot,0.12,11.0,0.0,0,30,1.0,0.0,3.872862517094264,0.2047668624248865,11.0,30,
sesja_02,pilot,0.16,9.0,0.0,0,30,1.0,0.0,3.7860517479234908,0.24817224701027307,9.0,30,
sesja_02,pilot,,,,0,30,,0.0,,,,30,
sesja_03,wieczor,0.03,13.0,2.0,1,49,0.8666666666666667,0.02,2.899500129583012,0.43975989554192396,15.0,50,
sesja_03,wieczor,0.05,10.0,0.0,1,49,1.0,0.02,3.5801315899183286,0.0994441653742657,10.0,50,
sesja_03,wieczor,0.07,12.0,1.0,1,49,0.9230769230769231,0.02,3.1313767521767506,0.3238215842450547,13.0,50,
sesja_03,wieczor,0.09,12.0,0.0,1,49,1.0,0.02,3.6583349988521365,0.06034246090736173,12.0,50,
sesja_03,wieczor,,,,1,49,,0.02,,,,50,
sesja_04,rano,0.03,17.0,2.0,1,49,0.8947368421052632,0.02,3.039859340709438,0.36958028997871106,19.0,50,
sesja_04,rano,0.05,12.0,0.0,1,49,1.0,0.02,3.6583349988521365,0.06034246090736173,12.0,50,
sesja_04,rano,0.07,12.0,1.0,1,49,0.9230769230769231,0.02,3.1313767521767506,0.3238215842450547,13.0,50,
sesja_04,rano,0.09,6.0,0.0,1,49,1.0,0.02,3.354743753018953,0.2121380838239535,6.0,50,
sesja_04,rano,,,,1,49,,0.02,,,,50,
sesja_05,po pracy,0.01,0.0,8.0,0,50,0.0,0.0,0.7405497567840877,1.9634936964150946,8.0,50,
sesja_05,po pracy,0.03,8.0,1.0,0,50,0.8888888888888888,0.0,3.370201964300928,0.6486675926566743,9.0,50,
sesja_05,po pracy,0.05,8.0,0.0,0,50,1.0,0.0,3.9269873928301884,0.3702748783920442,8.0,50,
sesja_05,po pracy,0.07,15.0,1.0,0,50,0.9375,0.0,3.6854708147377995,0.49103316743823866,16.0,50,
sesja_05,po pracy,0.09,9.0,0.0,0,50,1.0,0.0,3.9786222017586104,0.3444574739278331,9.0,50,
sesja_05,po pracy,,,,0,50,,0.0,,,,50,0.01197326659756964
sesja_06,popoludniu,0.01,0.0,17.0,0,50,0.0,0.0,0.41926274975158107,2.124137199931348,17.0,50,
sesja_06,popoludniu,0.03,6.0,0.0,0,50,1.0,0.0,3.7990023674926614,0.4342673910608077,6.0,50,
sesja_06,popoludniu,0.05,11.0,0.0,0,50,1.0,0.0,4.0654329709293835,0.30105208934244654,11.0,50,
sesja_06,popoludniu,0.07,10.0,0.0,0,50,1.0,0.0,4.024390204392037,0.3215734726111199,10.0,50,
sesja_06,popoludniu,0.09,6.0,0.0,0,50,1.0,0.0,3.7990023674926614,0.4342673910608077,6.0,50,
sesja_06,popoludniu,,,,0,50,,0.0,,,,50,0.013436579831179817
sesja_07,po pracy,0.01,1.0,3.0,1,49,0.25,0.02,1.365109447625389,1.2069552365207354,4.0,50,
sesja_07,po pracy,0.03,11.0,1.0,1,49,0.9166666666666666,0.02,3.0878896626403547,0.34556512901325265,12.0,50,
sesja_07,po pracy,0.05,9.0,0.0,1,49,1.0,0.02,3.5343635872849024,0.1223281666909789,9.0,50,
sesja_07,po pracy,0.07,10.0,0.0,1,49,1.0,0.02,3.5801315899183286,0.0994441653742657,10.0,50,
sesja_07,po pracy,0.09,14.0,1.0,1,49,0.9333333333333333,0.02,3.207520857636967,0.28574953151494653,15.0,50,
sesja_07,po pracy,,,,1,49,,0.02,,,,50,
